ProductID,ProductName,Price
999,Fresh Tablet 999,209.87
599,Quick Mixer 599,209.64
199,Fresh Snack 199,209.41
799,Deluxe Serum 799,209.32
399,Quick Mixer 399,209.30
998,Select Cleanser 998,208.82
598,Smart Blend 598,208.76
198,Bright Juice 198,208.52
398,Max Juice 398,208.43
798,Fresh Serum 798,208.26
597,Select Granola 597,207.82
197,Max Cleanser 197,207.80
797,Ultra Widget 797,207.76
997,Fresh Serum 997,207.40
397,Pure Blend 397,207.05
196,Power Sauce 196,206.73
596,Fresh Granola 596,206.39
796,Classic Cleanser 796,206.14
996,Fresh Cream 996,206.13
396,Quick Sauce 396,206.02
